Column2;Column3;Column4;Column5
1;2511;2284;2001
1;2511;2281;2001
1;2511;2254;2001
1;2511;2208;2001
1;2511;2185;2001
1;2511;2182;2001
1;2511;2210;2001
1;2511;2215;2001
1;2511;2191;2024
1;2489;2191;2024
1;2489;2168;2024
1;2521;2214;1982
1;2521;2214;2008
1;2521;2286;2008
1;2521;2309;2008
1;2521;2307;2008
1;2521;2293;2008
1;2521;2267;2008
1;2521;2292;2008
1;2521;2289;2008
1;2521;2248;2008
1;2521;2300;2008
1;2521;2348;2008
1;2521;2372;2008
1;2521;2349;2008
1;2521;2328;2008
1;2521;2280;2008
1;2521;2258;2008
1;2521;2230;2008
1;2521;2252;2008
1;2521;2250;2008
1;2521;2249;1983
1;2521;2249;2078
1;2521;2306;2078
1;2521;2235;2172
1;2521;2213;2172
1;2499;2167;2172
1;2528;2186;2172
1;2510;2180;2172
1;2510;2202;2172
1;2510;2182;2172
1;2510;2212;2172
1;2510;2212;2225
1;2489;2143;2225
1;2489;2138;2205
1;2489;2093;2205
1;2489;2136;2205
1;2489;2159;2205
1;2489;2187;2205
1;2467;2168;2205
1;2467;2133;2205
1;2467;2230;2205
1;2467;2280;2205
1;2467;2303;2205
1;2467;2305;2205
1;2467;2286;2205
1;2467;2264;2205
1;2467;2273;2205
1;2471;2229;2205
1;2471;2206;2205
1;2471;2186;2205
1;2471;2214;2205
1;2471;2190;2205
1;2471;2176;2205
1;2471;2156;2158
1;2455;2182;2140
1;2433;2289;2117
1;2413;2243;2126
1;2390;2277;2106
1;2390;2258;2106
1;2413;2236;2106
1;2390;2236;2106
1;2390;2191;2106
1;2385;2302;2106
1;2364;2237;2106
1;2368;2244;2129
1;2368;2290;2129
1;2368;2281;2129
1;2368;2257;2129
1;2368;2361;2129
1;2368;2312;2129
1;2368;2348;2129
1;2368;2402;2129
1;2368;2445;2129
1;2368;2416;2129
1;2368;2463;2129
1;2376;2463;2129
1;2376;2485;2129
1;2376;2505;2129
1;2333;2505;2103
1;2359;2505;2151
1;2360;2552;2151
1;2314;2599;2128
1;2314;2551;2104
1;2359;2573;2079
2;1845;1602;1714
2;1806;1602;1714
2;1831;1602;1714
2;1886;1602;1697
2;1907;1602;1697
2;1867;1602;1697
2;1988;1602;1721
2;2016;1602;1728
2;2050;1620;1808
2;2050;1601;1808
2;2050;1601;1938
2;2050;1601;2002
2;2143;1601;2002
2;2147;1601;2002
2;2147;1601;2001
2;2124;1601;2001
2;2124;1601;1983
2;2124;1601;1960
2;2120;1601;1914
2;2129;1601;1914
2;2129;1605;1914
2;2129;1605;1919
2;2129;1605;1924
2;2171;1595;1902
2;2149;1595;1902
2;2170;1595;1902
2;2195;1621;1883
2;2243;1621;1888
2;2219;1603;1888
2;2219;1603;1868
2;2197;1603;1852
2;2247;1603;1852
2;2276;1603;1852
2;2280;1580;1852
2;2254;1610;1997
2;2254;1611;1997
2;2254;1632;1997
2;2254;1632;1972
2;2207;1632;1995
2;2180;1610;1995
2;2170;1581;1985
2;2195;1581;1985
2;2195;1554;1985
2;2195;1554;2061
2;2200;1531;2061
2;2153;1531;2061
2;2104;1549;2061
2;2129;1550;2061
3;1558;996;1765
3;1610;996;1765
3;1648;996;1765
3;1648;1015;1765
3;1621;1015;1765
3;1624;1015;1765
3;1624;993;1765
3;1624;970;1765
3;1602;964;1821
3;1606;964;1841
3;1606;964;1865
3;1626;964;1857
3;1601;964;1833
3;1674;964;1833
3;1655;964;1833
3;1675;964;1833
3;1722;964;1833
3;1743;1040;1833
3;1725;1040;1901
3;1774;1040;1901
3;1774;1040;1901
3;1896;1040;1901
3;1916;1040;1901
3;1915;1065;1917
3;1915;1043;1917
3;1915;1043;1938
3;1915;1019;1938
3;1915;1019;1916
3;1894;1062;1916
3;1894;1170;1916
3;1874;1170;1916
3;1892;1170;1916
3;1889;1170;1916
3;1874;1221;1916
3;1874;1221;1869
3;1896;1221;1844
3;1896;1203;1844
3;1896;1183;1844
3;1915;1183;1844
3;1915;1183;1821
3;1980;1183;1799
3;1960;1191;1799
3;1960;1226;1799
3;1960;1222;1799
3;1913;1222;1799
3;1909;1295;1799
3;1909;1361;1799
3;1909;1436;1799
3;1887;1436;1799
3;1887;1397;1799
3;1887;1397;1776
3;1887;1397;1799
3;1887;1419;1799
3;1887;1399;1822
3;1887;1420;1822
3;1887;1418;1822
3;1887;1461;1822
3;1908;1526;1822
3;1929;1526;1822
3;1940;1526;1846
3;2012;1526;1846
3;2012;1528;1820
3;2009;1528;1824
3;2009;1528;1776
3;2009;1546;1776
3;2009;1546;1797
3;1988;1546;1818
3;1988;1546;1818
3;1988;1517;1818
3;1962;1499;1784
3;2014;1463;1857
3;2014;1440;1857
3;2014;1449;1857
3;1970;1449;1857
3;1992;1473;1857
3;1967;1519;1802
3;1967;1566;1826
3;2011;1566;1801
3;2011;1542;1801
3;2032;1542;1801
3;2032;1501;1801
3;1983;1501;1801
3;1963;1501;1801
3;2013;1501;1801
3;2013;1482;1801
3;2056;1510;1801
3;2056;1440;1801
3;2093;1459;1801
3;2093;1439;1777
3;2041;1439;1777
3;2021;1421;1777
3;2021;1455;1777
4;1782;2312;2024
4;1847;2183;2062
4;1866;2130;2062
4;1929;2130;2062
5;2007;2031;2108
5;1959;2070;2108
5;1938;2070;2108
5;1941;2070;2108
5;1939;2070;2108
5;1924;2070;2108
5;1924;2062;2108
5;1924;2040;2108
5;1799;2012;1983
5;1889;2012;1944
5;1845;2012;1944
5;1837;2012;1944
5;1840;2012;1944
5;1840;1960;1944
5;1862;1981;1944
5;1837;1959;1944
5;1854;1959;1944
5;1851;1959;1911
5;1851;1923;1911
5;1936;1923;1911
5;1845;1980;1911
6;1812;1839;2045
6;1812;1839;2000
6;1843;1839;2000
6;1843;1811;2000
6;1843;1835;2000
6;1843;1814;2000
6;1843;1819;2000
6;1843;1802;2000
6;1843;1793;2000
6;1843;1772;2000
6;1846;1772;2000
6;1845;1772;1981
6;1874;1751;1983
6;1874;1746;1983
6;1855;1749;1983
6;1855;1773;1983
6;1855;1796;1983
6;1855;1866;1983
6;1855;1866;2053
6;1855;1866;2090
6;1972;1866;2090
6;1986;1866;2090
6;1986;1876;2090
6;1986;1876;2033
6;1986;1897;2033
6;2008;1868;2033
